feature_set,k,mood_consistency_at_k,avg_similarity_at_k,intra_list_similarity_ILS,catalog_coverage,coverage_sample_n,n_songs_used,features
mood_only,10,0.9567,1.0,1.0,0.0656,1000,146833,"valence, energy"
extended_audio,10,0.9509,0.9954,0.9921,0.0656,1000,146833,"valence, energy, danceability, tempo, loudness"
