mood_label,valence,energy,danceability,tempo,loudness,similarity_score
Happy / Energetic,1.0537683001976264,0.8997266263260068,0.2944133146559538,0.1045384395775345,0.6130995455858717,0.9986575128303522
Happy / Energetic,1.4984598576309571,1.3185572837762702,0.6149891632307923,0.2770294862088021,0.9557780622954528,0.9986494915206011
Happy / Energetic,1.26234044660441,1.096577035327631,0.4925874755931271,0.1413692680397268,0.8307611018799621,0.9984132936558718
Happy / Energetic,1.26234044660441,1.096577035327631,0.4925874755931271,0.1413692680397268,0.8307611018799621,0.9984132936558718
Happy / Energetic,1.26234044660441,1.096577035327631,0.4925874755931271,0.1413692680397268,0.8307611018799621,0.9984132936558718
Happy / Energetic,1.26234044660441,1.096577035327631,0.4925874755931271,0.1413692680397268,0.8307611018799621,0.9984132936558718
Happy / Energetic,1.5535543868704853,1.2306028457117149,0.5858459042694439,0.2790756433455906,0.9683436511617454,0.9982911946205336
Happy / Energetic,1.1206687999884817,0.8787850934534935,0.3526998325786518,0.1101653717037025,0.5803012288840222,0.9981525377690975
Happy / Energetic,1.1206687999884817,0.8787850934534935,0.3526998325786518,0.1101653717037025,0.5803012288840222,0.9981525377690975
Happy / Energetic,1.1206687999884817,0.8787850934534935,0.3526998325786518,0.1101653717037025,0.5803012288840222,0.9981525377690975
