mood_label,valence,energy,danceability,tempo,loudness,similarity_score
Happy / Energetic,0.1407732442283096,1.096577035327631,0.9413936635979012,0.0058454603464372,1.1246680957017283,1.0
Happy / Energetic,0.1289672736769822,0.6735580713028642,0.6266464668153319,0.0384475640592669,0.7157540173410102,0.9985104573428951
Happy / Energetic,0.1643851853309644,1.3185572837762702,1.2269976014191215,-0.1297465525847452,1.3438204845731756,0.9974432783875057
Happy / Energetic,0.1604498618138553,1.029564130135589,0.801506020583426,0.1088694721837366,1.0660996730198546,0.9969968480962771
Happy / Energetic,0.0148428916808175,0.7363826699204038,0.5800172524771742,0.0398116688171256,0.7406722189911163,0.9969036264750462
Happy / Energetic,0.0148428916808175,0.7363826699204038,0.5800172524771742,0.0398116688171256,0.7406722189911163,0.9969036264750462
Happy / Energetic,0.18406180291651,1.1677782470941758,0.8656211902983938,0.1090399852784688,1.1278627369389216,0.9966046572574987
Happy / Energetic,0.1329025971940914,0.6861229910263721,0.6791043329457601,0.0056408446327583,0.8652632272416477,0.9958209497818449
Happy / Energetic,0.2234150380876013,0.9709278380925516,0.9821942261437898,0.0752442899025126,1.0377738540500758,0.9956324096376797
Happy / Energetic,-0.0087690494218372,0.6609931515793568,0.5858459042694439,0.0390273085813568,0.7508950709501344,0.9949800559187074
